Timestamp	CO2_1 (62.5 Hz)
4.064	34.092348
4.08	34.092348
4.096	33.999017
4.112	34.092348
4.128	34.092348
4.144	34.292343
4.16	34.399007
4.176	34.292343
4.192	34.292343
4.208	34.292343
4.224	34.599002
4.24	35.092323
4.256	35.198987
4.272	34.998992
4.288	34.892328
4.304	34.998992
4.32	34.998992
4.336	34.998992
4.352	35.092323
4.368	34.199012
4.384	30.999092
4.4	24.292593
4.416	17.199437
4.432	11.692908
4.448	8.892978
4.464	7.399682
4.48	5.893053
4.496	4.893078
4.512	3.893103
4.528	2.799797
4.544	1.999817
4.56	1.493163
4.576	1.293168
4.592	1.293168
4.608	1.199837
4.624	0.999842
4.64	0.799847
4.656	0.693183
4.672	0.599852
4.688	0.693183
4.704	0.799847
4.72	0.799847
4.736	0.693183
4.752	0.599852
4.768	0.599852
4.784	0.599852
4.8	0.599852
4.816	0.493188
4.832	0.599852
4.848	0.599852
4.864	0.599852
4.88	0.599852
4.896	0.599852
4.912	0.599852
4.928	0.599852
4.944	0.599852
4.96	0.599852
4.976	0.599852
4.992	0.693183
5.008	0.693183
5.024	0.693183
5.04	0.599852
5.056	0.599852
5.072	0.599852
5.088	0.599852
5.104	0.493188
5.12	0.599852
5.136	0.693183
5.152	0.799847
5.168	0.693183
5.184	0.599852
5.2	0.599852
5.216	0.599852
5.232	0.799847
5.248	0.799847
5.264	0.799847
5.28	0.799847
5.296	0.693183
5.312	0.693183
5.328	0.599852
5.344	0.599852
5.36	0.599852
5.376	0.693183
5.392	0.693183
5.408	0.693183
5.424	0.693183
5.44	0.693183
5.456	0.599852
5.472	0.599852
5.488	0.693183
5.504	0.799847
5.52	0.799847
5.536	0.893178
5.552	0.799847
5.568	0.693183
5.584	0.693183
5.6	0.693183
5.616	0.693183
5.632	0.693183
5.648	0.693183
5.664	0.599852
5.68	0.599852
5.696	0.599852
5.712	0.493188
5.728	0.599852
5.744	0.693183
5.76	0.799847
5.776	0.799847
5.792	0.799847
5.808	0.693183
5.824	0.693183
5.84	0.693183
5.856	0.693183
5.872	0.693183
5.888	0.693183
5.904	0.799847
5.92	0.893178
5.936	1.399832
5.952	2.493138
5.968	4.199762
5.984	6.693033
6	9.892953
6.016	13.692858
6.032	16.892778
6.048	18.892728
6.064	19.892703
6.08	20.399357
6.096	20.799347
6.112	20.999342
6.128	21.292668
6.144	21.799322
6.16	22.492638
6.176	23.092623
6.192	23.692608
6.208	24.292593
6.224	24.799247
6.24	25.292568
6.256	25.799222
6.272	26.292543
6.288	26.692533
6.304	26.892528
6.32	26.999192
6.336	27.199187
6.352	27.492513
6.368	27.892503
6.384	27.999167
6.4	28.199162
6.416	28.492488
6.432	28.599152
6.448	28.692483
6.464	28.692483
6.48	28.692483
6.496	28.692483
6.512	28.692483
6.528	28.799147
6.544	28.892478
6.56	29.199137
6.576	29.399132
6.592	29.492463
6.608	29.492463
6.624	29.599127
6.64	29.799122
6.656	29.892453
6.672	30.092448
6.688	30.199112
6.704	30.292443
6.72	30.399107
6.736	30.292443
6.752	30.292443
6.768	30.492438
6.784	30.692433
6.8	30.892428
6.816	30.999092
6.832	30.999092
6.848	30.799097
6.864	30.799097
6.88	30.999092
6.896	31.092423
6.912	31.092423
6.928	31.199087
6.944	31.292418
6.96	31.292418
6.976	31.199087
6.992	31.092423
7.008	31.199087
7.024	31.399082
7.04	31.599077
7.056	31.892403
7.072	32.092398
7.088	32.092398
7.104	31.999067
7.12	32.199062
7.136	32.399057
7.152	32.292393
7.168	32.292393
7.184	32.492388
7.2	32.692383
7.216	32.692383
7.232	32.692383
7.248	32.799047
7.264	32.892378
7.28	32.999042
7.296	32.999042
7.312	33.199037
7.328	33.092373
7.344	32.999042
7.36	33.092373
7.376	33.292368
7.392	33.399032
7.408	33.399032
7.424	33.399032
7.44	33.292368
7.456	33.199037
7.472	33.199037
7.488	33.199037
7.504	33.199037
7.52	33.199037
7.536	33.292368
7.552	33.292368
7.568	33.292368
7.584	33.199037
7.6	33.292368
7.616	33.492363
7.632	33.492363
7.648	33.399032
7.664	33.492363
7.68	33.599027
7.696	33.799022
7.712	33.892353
7.728	33.892353
7.744	33.599027
7.76	33.599027
7.776	33.892353
7.792	33.892353
7.808	33.999017
7.824	33.999017
7.84	34.092348
7.856	34.199012
7.872	34.199012
7.888	34.092348
7.904	33.999017
7.92	33.999017
7.936	33.999017
7.952	33.999017
7.968	33.999017
7.984	34.199012
8	34.399007
8.016	34.492338
8.032	34.492338
8.048	34.399007
8.064	34.599002
8.08	34.892328
8.096	34.998992
8.112	35.092323
8.128	35.198987
8.144	35.292318
8.16	35.198987
8.176	35.092323
8.192	35.292318
8.208	35.398982
8.224	35.398982
8.24	35.292318
8.256	34.692333
8.272	30.599102
8.288	24.892578
8.304	19.692708
8.32	13.799522
8.336	9.199637
8.352	7.199687
8.368	6.293043
8.384	5.293068
8.4	4.293093
8.416	3.693108
8.432	3.293118
8.448	2.599802
8.464	1.999817
8.48	1.693158
8.496	1.493163
8.512	1.399832
8.528	1.199837
8.544	0.999842
8.56	0.893178
8.576	0.799847
8.592	0.693183
8.608	0.693183
8.624	0.693183
8.64	0.693183
8.656	0.693183
8.672	0.693183
8.688	0.693183
8.704	0.599852
8.72	0.599852
8.736	0.493188
8.752	0.599852
8.768	0.599852
8.784	0.599852
8.8	0.693183
8.816	0.693183
8.832	0.693183
8.848	0.693183
8.864	0.599852
8.88	0.599852
8.896	0.599852
8.912	0.693183
8.928	0.799847
8.944	0.799847
8.96	0.799847
8.976	0.693183
8.992	0.693183
9.008	0.599852
9.024	0.599852
9.04	0.693183
9.056	0.693183
9.072	0.799847
9.088	0.799847
9.104	0.799847
9.12	0.799847
9.136	0.799847
9.152	0.799847
9.168	0.799847
9.184	0.799847
9.2	0.799847
9.216	0.799847
9.232	0.799847
9.248	0.693183
9.264	0.693183
9.28	0.599852
9.296	0.599852
9.312	0.693183
9.328	0.799847
9.344	0.799847
9.36	0.799847
9.376	0.799847
9.392	0.693183
9.408	0.599852
9.424	0.599852
9.44	0.693183
9.456	0.693183
9.472	0.799847
9.488	0.693183
9.504	0.693183
9.52	0.799847
9.536	0.799847
9.552	0.799847
9.568	0.799847
9.584	0.799847
9.6	0.693183
9.616	0.693183
9.632	0.693183
9.648	0.599852
9.664	0.599852
9.68	0.693183
9.696	0.693183
9.712	0.799847
9.728	0.799847
9.744	0.799847
9.76	0.799847
9.776	0.799847
9.792	0.893178
9.808	1.293168
9.824	2.093148
9.84	3.199787
9.856	5.093073
9.872	7.293018
9.888	9.892953
9.904	12.799547
9.92	15.799472
9.936	18.492738
9.952	20.692683
9.968	22.492638
9.984	23.599277
10	24.292593
10.016	24.892578
10.032	25.399232
10.048	25.799222
10.064	26.092548
10.08	26.399207
10.096	26.492538
10.112	26.692533
10.128	26.799197
10.144	26.799197
10.16	26.799197
10.176	26.892528
10.192	27.092523
10.208	27.399182
10.224	27.599177
10.24	27.692508
10.256	27.892503
10.272	28.292493
10.288	28.599152
10.304	28.892478
10.32	29.199137
10.336	29.399132
10.352	29.599127
10.368	29.799122
10.384	29.892453
10.4	29.999117
10.416	29.999117
10.432	30.199112
10.448	30.492438
10.464	30.599102
10.48	30.799097
10.496	30.999092
10.512	30.999092
10.528	30.999092
10.544	30.999092
10.56	31.199087
10.576	31.492413
10.592	31.492413
10.608	31.399082
10.624	31.199087
10.64	31.399082
10.656	31.492413
10.672	31.492413
10.688	31.692408
10.704	31.892403
10.72	31.999067
10.736	31.892403
10.752	31.799072
10.768	31.999067
10.784	32.092398
10.8	32.199062
10.816	32.199062
10.832	32.199062
10.848	32.399057
10.864	32.492388
10.88	32.492388
10.896	32.599052
10.912	32.599052
10.928	32.599052
10.944	32.599052
10.96	32.692383
10.976	32.492388
10.992	32.399057
11.008	32.492388
11.024	32.599052
11.04	32.799047
11.056	32.999042
11.072	32.892378
11.088	32.892378
11.104	32.999042
11.12	32.892378
11.136	33.092373
11.152	33.092373
11.168	33.199037
11.184	33.199037
11.2	32.999042
11.216	32.892378
11.232	33.092373
11.248	33.292368
11.264	33.399032
11.28	33.692358
11.296	33.892353
11.312	33.999017
11.328	34.092348
11.344	34.199012
11.36	33.999017
11.376	33.892353
11.392	33.892353
11.408	34.092348
11.424	34.199012
11.44	34.199012
11.456	34.092348
11.472	34.199012
11.488	34.599002
11.504	34.599002
11.52	34.492338
11.536	34.292343
11.552	34.399007
11.568	34.599002
11.584	34.692333
11.6	34.692333
11.616	34.692333
11.632	34.599002
11.648	34.599002
11.664	34.798997
11.68	34.798997
11.696	34.798997
11.712	34.798997
11.728	34.798997
11.744	34.798997
11.76	34.798997
11.776	34.599002
11.792	34.399007
11.808	34.399007
11.824	34.692333
11.84	34.892328
11.856	34.998992
11.872	33.399032
11.888	28.199162
11.904	23.199287
11.92	19.599377
11.936	16.092798
11.952	12.292893
11.968	8.799647
11.984	6.599702
12	5.093073
12.016	4.199762
12.032	3.199787
12.048	2.093148
12.064	1.399832
12.08	1.199837
12.096	1.199837
12.112	0.999842
12.128	0.799847
12.144	0.693183
12.16	0.693183
12.176	0.693183
12.192	0.599852
12.208	0.493188
12.224	0.599852
12.24	0.599852
12.256	0.599852
12.272	0.599852
12.288	0.599852
12.304	0.493188
12.32	0.493188
12.336	0.493188
12.352	0.493188
12.368	0.599852
12.384	0.599852
12.4	0.799847
12.416	0.893178
12.432	0.799847
12.448	0.693183
12.464	0.599852
12.48	0.399857
12.496	0.399857
12.512	0.493188
12.528	0.493188
12.544	0.493188
12.56	0.599852
12.576	0.693183
12.592	0.693183
12.608	0.693183
12.624	0.799847
12.64	0.693183
12.656	0.599852
12.672	0.599852
12.688	0.493188
12.704	0.493188
12.72	0.493188
12.736	0.599852
12.752	0.693183
12.768	0.599852
12.784	0.493188
12.8	0.493188
12.816	0.599852
12.832	0.599852
12.848	0.599852
12.864	0.599852
12.88	0.693183
12.896	0.693183
12.912	0.799847
12.928	0.893178
12.944	0.893178
12.96	0.799847
12.976	0.799847
12.992	0.799847
13.008	0.799847
13.024	0.799847
13.04	0.799847
13.056	0.799847
13.072	0.693183
13.088	0.693183
13.104	0.693183
13.12	0.599852
13.136	0.599852
13.152	0.693183
13.168	0.693183
13.184	0.693183
13.2	0.693183
13.216	0.799847
13.232	0.893178
13.248	0.799847
13.264	0.693183
13.28	0.693183
13.296	0.693183
13.312	0.693183
13.328	0.693183
13.344	0.693183
13.36	0.799847
13.376	1.093173
13.392	1.893153
13.408	3.199787
13.424	5.293068
13.44	7.599677
13.456	9.892953
13.472	11.799572
13.488	13.599527
13.504	15.292818
13.52	16.892778
13.536	18.692733
13.552	20.599352
13.568	21.999317
13.584	23.399282
13.6	24.399257
13.616	25.199237
13.632	25.799222
13.648	26.292543
13.664	26.692533
13.68	26.999192
13.696	27.492513
13.712	27.799172
13.728	27.999167
13.744	28.199162
13.76	28.399157
13.776	28.492488
13.792	28.599152
13.808	28.799147
13.824	28.892478
13.84	29.092473
13.856	29.399132
13.872	29.799122
13.888	29.999117
13.904	29.999117
13.92	29.999117
13.936	30.199112
13.952	30.399107
13.968	30.492438
13.984	30.292443
14	30.199112
14.016	30.292443
14.032	30.399107
14.048	30.692433
14.064	30.892428
14.08	30.892428
14.096	30.892428
14.112	30.999092
14.128	31.199087
14.144	31.292418
14.16	31.399082
14.176	31.399082
14.192	31.399082
14.208	31.399082
14.224	31.492413
14.24	31.492413
14.256	31.599077
14.272	31.599077
14.288	31.799072
14.304	31.999067
14.32	31.999067
14.336	32.092398
14.352	32.199062
14.368	32.199062
14.384	32.199062
14.4	32.199062
14.416	32.292393
14.432	32.492388
14.448	32.799047
14.464	32.799047
14.48	32.799047
14.496	32.892378
14.512	32.892378
14.528	32.892378
14.544	32.999042
14.56	33.092373
14.576	33.292368
14.592	33.399032
14.608	33.399032
14.624	33.492363
14.64	33.599027
14.656	33.799022
14.672	33.892353
14.688	33.892353
14.704	33.999017
14.72	34.092348
14.736	33.999017
14.752	34.092348
14.768	34.199012
14.784	34.199012
14.8	34.199012
14.816	33.999017
14.832	33.892353
14.848	33.799022
14.864	33.799022
14.88	33.799022
14.896	33.799022
14.912	33.892353
14.928	34.092348
14.944	34.399007
14.96	34.492338
14.976	34.399007
14.992	34.399007
15.008	34.399007
15.024	34.292343
15.04	34.292343
15.056	34.399007
15.072	34.399007
15.088	34.292343
15.104	34.199012
15.12	34.292343
15.136	34.492338
15.152	34.692333
15.168	34.892328
15.184	34.998992
15.2	34.998992
15.216	34.998992
15.232	34.892328
15.248	34.998992
15.264	34.998992
15.28	35.198987
15.296	35.292318
15.312	35.398982
15.328	35.492313
15.344	35.598977
15.36	35.598977
15.376	35.492313
15.392	35.398982
15.408	35.398982
15.424	35.292318
15.44	35.398982
15.456	35.492313
15.472	35.692308
15.488	35.692308
15.504	35.692308
15.52	35.892303
15.536	35.892303
15.552	35.892303
15.568	35.892303
15.584	35.998967
15.6	35.998967
15.616	35.998967
15.632	35.998967
15.648	35.998967
15.664	35.998967
15.68	36.092298
15.696	36.292293
15.712	36.292293
15.728	36.292293
15.744	36.398957
15.76	36.398957
15.776	36.492288
15.792	36.292293
15.808	36.092298
15.824	35.998967
15.84	34.292343
15.856	31.492413
15.872	28.092498
15.888	22.292643
15.904	15.999467
15.92	10.692933
15.936	7.293018
15.952	5.399732
15.968	4.093098
15.984	3.493113
16	2.999792
16.016	2.493138
16.032	2.093148
16.048	1.693158
16.064	1.399832
16.08	1.199837
16.096	1.093173
16.112	0.999842
16.128	0.999842
16.144	0.893178
16.16	0.693183
16.176	0.693183
16.192	0.599852
16.208	0.693183
16.224	0.599852
16.24	0.599852
16.256	0.599852
16.272	0.693183
16.288	0.799847
16.304	0.693183
16.32	0.599852
16.336	0.493188
16.352	0.599852
16.368	0.693183
16.384	0.693183
16.4	0.693183
16.416	0.599852
16.432	0.599852
16.448	0.599852
16.464	0.493188
16.48	0.493188
16.496	0.599852
16.512	0.693183
16.528	0.693183
16.544	0.599852
16.56	0.693183
16.576	0.799847
16.592	0.693183
16.608	0.599852
16.624	0.599852
16.64	0.599852
16.656	0.693183
16.672	0.693183
16.688	0.599852
16.704	0.493188
16.72	0.493188
16.736	0.493188
16.752	0.599852
16.768	0.799847
16.784	0.799847
16.8	0.693183
16.816	0.693183
16.832	0.599852
16.848	0.599852
16.864	0.599852
16.88	0.799847
16.896	0.799847
16.912	0.799847
16.928	0.693183
16.944	0.799847
16.96	0.799847
16.976	0.799847
16.992	0.799847
17.008	0.799847
17.024	0.799847
17.04	0.799847
17.056	0.799847
17.072	0.799847
17.088	0.693183
17.104	0.799847
17.12	0.799847
17.136	0.799847
17.152	0.693183
17.168	0.693183
17.184	0.693183
17.2	0.693183
17.216	0.693183
17.232	0.799847
17.248	0.799847
17.264	0.799847
17.28	0.799847
17.296	0.799847
17.312	0.799847
17.328	1.399832
17.344	2.693133
17.36	4.999742
17.376	8.399657
17.392	11.892903
17.408	14.999492
17.424	17.692758
17.44	19.892703
17.456	21.492663
17.472	22.492638
17.488	22.892628
17.504	22.999292
17.52	23.092623
17.536	23.199287
17.552	23.399282
17.568	23.799272
17.584	24.199262
17.6	24.692583
17.616	25.292568
17.632	25.799222
17.648	26.292543
17.664	26.599202
17.68	27.092523
17.696	27.399182
17.712	27.799172
17.728	28.092498
17.744	28.399157
17.76	28.599152
17.776	28.892478
17.792	28.999142
17.808	29.092473
17.824	29.292468
17.84	29.399132
17.856	29.492463
17.872	29.692458
17.888	30.199112
17.904	30.399107
17.92	30.492438
17.936	30.492438
17.952	30.692433
17.968	30.692433
17.984	30.799097
18	30.892428
18.016	30.892428
18.032	30.999092
18.048	31.199087
18.064	31.399082
18.08	31.492413
18.096	31.599077
18.112	31.799072
18.128	31.799072
18.144	31.799072
18.16	31.892403
18.176	31.799072
18.192	31.892403
18.208	32.092398
18.224	32.199062
18.24	32.092398
18.256	32.199062
18.272	32.399057
18.288	32.399057
18.304	32.292393
18.32	32.292393
18.336	32.399057
18.352	32.492388
18.368	32.492388
18.384	32.492388
18.4	32.692383
18.416	32.799047
18.432	32.799047
18.448	32.799047
18.464	32.799047
18.48	32.799047
18.496	32.799047
18.512	32.999042
18.528	33.199037
18.544	33.199037
18.56	33.092373
18.576	33.199037
18.592	33.399032
18.608	33.399032
18.624	33.492363
18.64	33.799022
18.656	33.799022
18.672	33.692358
18.688	33.892353
18.704	33.892353
18.72	33.892353
18.736	33.999017
18.752	34.292343
18.768	34.492338
18.784	34.399007
18.8	34.399007
18.816	34.492338
18.832	34.599002
18.848	34.599002
18.864	34.692333
18.88	34.599002
18.896	34.692333
18.912	34.599002
18.928	34.599002
18.944	34.492338
18.96	34.599002
18.976	34.599002
18.992	34.492338
19.008	34.492338
19.024	34.599002
19.04	34.692333
19.056	34.892328
19.072	34.892328
19.088	34.798997
19.104	34.599002
19.12	34.692333
19.136	34.892328
19.152	35.198987
19.168	35.198987
19.184	35.092323
19.2	35.092323
19.216	34.892328
19.232	34.692333
19.248	34.692333
19.264	35.092323
19.28	35.492313
19.296	35.398982
19.312	35.198987
19.328	35.092323
19.344	34.998992
19.36	34.692333
19.376	30.092448
19.392	23.092623
19.408	17.092773
19.424	12.599552
19.44	9.092973
19.456	6.693033
19.472	4.999742
19.488	3.599777
19.504	2.493138
19.52	2.093148
19.536	1.893153
19.552	1.599827
19.568	1.199837
19.584	0.999842
19.6	0.893178
19.616	0.799847
19.632	0.799847
19.648	0.693183
19.664	0.693183
19.68	0.693183
19.696	0.693183
19.712	0.693183
19.728	0.799847
19.744	0.799847
19.76	0.693183
19.776	0.599852
19.792	0.493188
19.808	0.493188
19.824	0.493188
19.84	0.599852
19.856	0.693183
19.872	0.599852
19.888	0.493188
19.904	0.493188
19.92	0.599852
19.936	0.693183
19.952	0.693183
19.968	0.693183
19.984	0.693183
20	0.693183
20.016	0.693183
20.032	0.799847
20.048	0.893178
20.064	0.893178
20.08	0.799847
20.096	0.599852
20.112	0.599852
20.128	0.599852
20.144	0.693183
20.16	0.693183
20.176	0.799847
20.192	0.799847
20.208	0.893178
20.224	0.893178
20.24	0.893178
20.256	0.799847
20.272	0.799847
20.288	0.693183
20.304	0.693183
20.32	0.599852
20.336	0.493188
20.352	0.493188
20.368	0.693183
20.384	0.693183
20.4	0.693183
20.416	0.693183
20.432	0.693183
20.448	0.693183
20.464	0.693183
20.48	0.599852
20.496	0.599852
20.512	0.599852
20.528	0.693183
20.544	0.799847
20.56	0.799847
20.576	0.799847
20.592	0.693183
20.608	0.693183
20.624	0.693183
20.64	0.693183
20.656	0.693183
20.672	0.693183
20.688	0.799847
20.704	0.799847
20.72	0.799847
20.736	0.799847
20.752	0.693183
20.768	0.693183
20.784	0.799847
20.8	0.799847
20.816	0.799847
20.832	0.693183
20.848	0.693183
20.864	0.693183
20.88	0.799847
20.896	0.799847
20.912	0.999842
20.928	1.599827
20.944	2.799797
20.96	4.199762
20.976	5.599727
20.992	7.693008
21.008	10.799597
21.024	14.292843
21.04	17.492763
21.056	20.199362
21.072	22.199312
21.088	23.799272
21.104	24.799247
21.12	25.492563
21.136	25.999217
21.152	26.599202
21.168	26.999192
21.184	27.492513
21.2	27.999167
21.216	28.399157
21.232	28.799147
21.248	29.092473
21.264	29.092473
21.28	29.199137
21.296	29.399132
21.312	29.599127
21.328	29.692458
21.344	29.692458
21.36	29.892453
21.376	29.999117
21.392	29.892453
21.408	29.892453
21.424	29.999117
21.44	29.999117
21.456	30.092448
21.472	30.292443
21.488	30.399107
21.504	30.399107
21.52	30.692433
21.536	30.892428
21.552	30.892428
21.568	30.999092
21.584	31.092423
21.6	31.199087
21.616	31.199087
21.632	31.399082
21.648	31.599077
21.664	31.692408
21.68	31.492413
21.696	31.399082
21.712	31.492413
21.728	31.599077
21.744	31.492413
21.76	31.692408
21.776	31.799072
21.792	31.692408
21.808	31.599077
21.824	31.692408
21.84	31.999067
21.856	32.292393
21.872	32.599052
21.888	32.599052
21.904	32.692383
21.92	32.892378
21.936	32.892378
21.952	32.799047
21.968	32.692383
21.984	32.799047
22	32.892378
22.016	33.092373
22.032	33.292368
22.048	33.492363
22.064	33.599027
22.08	33.399032
22.096	33.399032
22.112	33.292368
22.128	33.092373
22.144	32.999042
22.16	33.199037
22.176	33.199037
22.192	33.292368
22.208	33.599027
22.224	33.692358
22.24	33.799022
22.256	33.892353
22.272	33.999017
22.288	34.092348
22.304	34.199012
22.32	34.199012
22.336	34.292343
22.352	34.492338
22.368	34.599002
22.384	34.492338
22.4	34.292343
22.416	34.292343
22.432	34.399007
22.448	34.492338
22.464	34.492338
22.48	34.492338
22.496	34.492338
22.512	34.599002
22.528	34.892328
22.544	34.892328
22.56	34.798997
22.576	34.892328
22.592	34.892328
22.608	34.998992
22.624	34.892328
22.64	34.892328
22.656	35.092323
22.672	35.198987
22.688	35.198987
22.704	35.198987
22.72	35.292318
22.736	35.398982
22.752	35.398982
22.768	35.292318
22.784	35.198987
22.8	35.292318
22.816	35.398982
22.832	35.398982
22.848	35.492313
22.864	35.598977
22.88	35.598977
22.896	35.598977
22.912	35.798972
22.928	36.092298
22.944	36.092298
22.96	35.998967
22.976	35.998967
22.992	36.092298
23.008	36.198962
23.024	36.398957
23.04	36.598952
23.056	36.598952
23.072	36.492288
23.088	36.292293
23.104	36.398957
23.12	36.598952
23.136	36.598952
23.152	36.398957
23.168	36.398957
23.184	36.292293
23.2	36.292293
23.216	36.292293
23.232	36.398957
23.248	35.292318
23.264	34.399007
23.28	30.999092
23.296	23.492613
23.312	15.999467
23.328	10.399607
23.344	7.293018
23.36	5.799722
23.376	5.093073
23.392	4.399757
23.408	3.693108
23.424	2.893128
23.44	2.293143
23.456	1.893153
23.472	1.493163
23.488	1.199837
23.504	1.093173
23.52	1.093173
23.536	0.893178
23.552	0.693183
23.568	0.693183
23.584	0.599852
23.6	0.599852
23.616	0.599852
23.632	0.693183
23.648	0.693183
23.664	0.799847
23.68	0.799847
23.696	0.799847
23.712	0.799847
23.728	0.693183
23.744	0.693183
23.76	0.599852
23.776	0.693183
23.792	0.799847
23.808	0.799847
23.824	0.799847
23.84	0.893178
23.856	0.799847
23.872	0.693183
23.888	0.599852
23.904	0.693183
23.92	0.693183
23.936	0.799847
23.952	0.799847
23.968	0.799847
23.984	0.693183
24	0.693183
24.016	0.799847
24.032	0.799847
24.048	0.799847
24.064	0.799847
24.08	0.693183
24.096	0.693183
24.112	0.693183
24.128	0.799847
24.144	0.893178
24.16	0.893178
24.176	0.799847
24.192	0.693183
24.208	0.599852
24.224	0.599852
24.24	0.693183
24.256	0.693183
24.272	0.693183
24.288	0.693183
24.304	0.693183
24.32	0.599852
24.336	0.599852
24.352	0.599852
24.368	0.693183
24.384	0.693183
24.4	0.693183
24.416	0.693183
24.432	0.693183
24.448	0.693183
24.464	0.693183
24.48	0.799847
24.496	0.893178
24.512	0.693183
24.528	0.599852
24.544	0.693183
24.56	0.693183
24.576	0.693183
24.592	0.693183
24.608	0.693183
24.624	0.693183
24.64	0.799847
24.656	0.799847
24.672	0.799847
24.688	0.693183
24.704	0.799847
24.72	0.799847
24.736	0.693183
24.752	0.693183
24.768	0.799847
24.784	1.199837
24.8	2.199812
24.816	3.893103
24.832	6.293043
24.848	8.999642
24.864	12.199562
